StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q32,Q31,Q92,Q93,Q94,Comments,Q33,Q46,Q39,Q34_Browser,Q34_Version,Q34_Operating System,Q34_Resolution,allSliderData,Create New Field or Choose From Dropdown...,loopCounter,Condition
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,What is your goal in this study?,What day are you predicting for?,What number do all of the trend lines start at?,Are all of the possible trends straight lines?,How likely is each trend?,Did the sliders work okay for you?,"(Optional) If there is anything you'd like to tell us about this survey, please do:",(Optional) What do you think this research project is studying?,Please enter your Prolific ID here:,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,allSliderData,Create New Field or Choose From Dropdown...,loopCounter,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID199""}","{""ImportId"":""QID198""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID200_TEXT""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID201_BROWSER""}","{""ImportId"":""QID201_VERSION""}","{""ImportId"":""QID201_OS""}","{""ImportId"":""QID201_RESOLUTION""}","{""ImportId"":""allSliderData""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""loopCounter""}","{""ImportId"":""Condition""}"
8/22/2023 15:33,8/22/2023 15:39,0,100,320,1,8/22/2023 15:39,R_3oFQ12HsJU2i0SC,anonymous,EN,1,1,1,1,2,1,Yes,,,559afb95fdf99b361ac468a0,Firefox,116,Windows NT 10.0,1536x864,'-1~fl~-1fl.jpeg~80~7.5625~0~fl~0fl.jpeg~103~8.7025~1~fl~1fl.jpeg~73~3.1329000000000002~2~fl~2fl.jpeg~105~9.4249~3~fl~3fl.jpeg~98~7.7841000000000005~4~fl~4cn.jpeg~110~6.812099999999999~5~fl~5cn.jpeg~82~6.400899999999999~6~fl~6cn.jpeg~120~6.5024999999999995~,,7,fl
8/22/2023 15:33,8/22/2023 15:40,0,100,427,1,8/22/2023 15:40,R_3fBLVtDboJeYgNB,anonymous,EN,0.800000012,1,1,1,2,1,"Yes, they felt easy to manipulate.",,,60d1acdbb9ab21b88fe9d4d7,Chrome,116.0.0.0,Windows NT 10.0,1512x851,'-1~cn~-1cn.jpeg~78~2.1609~0~cn~0cn.jpeg~100~9.610000000000001~1~cn~1cn.jpeg~94~6.002500000000001~2~cn~2cn.jpeg~106~4.040099999999999~3~cn~3cn.jpeg~97~6.5024999999999995~4~cn~4fl.jpeg~122~5.7121~5~cn~5fl.jpeg~67~13.1769~6~cn~6fl.jpeg~140~9~,,7,cn
8/22/2023 15:33,8/22/2023 15:41,0,100,494,1,8/22/2023 15:41,R_uwsVsJETKX5JStr,anonymous,EN,1,1,1,3,3,1,yes,,,5ef0a61cc00bfb60b37d8acd,Chrome,116.0.0.0,Windows NT 10.0,2048x1280,'-1~fl~-1fl.jpeg~79~5.6169~0~fl~0fl.jpeg~107~2.9240999999999997~1~fl~1fl.jpeg~75~2.2201~2~fl~2fl.jpeg~104~5.475599999999999~3~fl~3fl.jpeg~98~8.2944~4~fl~4cn.jpeg~103~4.4521~5~fl~5cn.jpeg~88~9.060099999999998~6~fl~6cn.jpeg~115~5.569599999999999~,,7,fl
8/22/2023 15:33,8/22/2023 15:42,0,100,504,1,8/22/2023 15:42,R_3huvqa883COOhpf,anonymous,EN,1,2,3,1,2,1,Yes,All good :),Our capability to understand and follow instructions with a logical thinking.,5f29a54ccd7baa0f974a42e3,Chrome,115.0.0.0,Windows NT 10.0,1920x1080,'-1~cl~-1cl.jpeg~78~2.8899999999999997~0~cl~0cl.jpeg~107~3.0276~1~cl~1cl.jpeg~88~1.9043999999999996~2~cl~2cl.jpeg~109~3.8024999999999998~3~cl~3cl.jpeg~105~3.6864~4~cl~4fn.jpeg~110~3.24~5~cl~5fn.jpeg~81~3.4225000000000003~6~cl~6fn.jpeg~132~2.9929~,,7,cl
8/22/2023 15:33,8/22/2023 15:42,0,100,541,1,8/22/2023 15:42,R_ysvwOzxT7HYHCQ9,anonymous,EN,1,1,1,1,2,1,"Yes, though there was a fair bit of play in the uncertainty slider before getting an increase in %",,understanding two dimensions of correlation ie slope of line and correlation coefficient,5d3a5858f7ddf70001353ae4,Firefox,116,Ubuntu,1920x1080,'-1~fl~-1fl.jpeg~79~0.6400000000000001~0~fl~0fl.jpeg~112~2.8560999999999996~1~fl~1fl.jpeg~74~2.3104~2~fl~2fl.jpeg~105~4.5796~3~fl~3fl.jpeg~115~7.896100000000001~4~fl~4cn.jpeg~113~4.1616~5~fl~5cn.jpeg~89~2.8560999999999996~6~fl~6cn.jpeg~123~9.985600000000002~,,7,fl
8/22/2023 15:34,8/22/2023 15:43,0,100,551,1,8/22/2023 15:43,R_1hRL39n3C71FYbk,anonymous,EN,1,1,1,1,2,1,yes they did,,,61618a4c307226e9aa6d4070,Chrome,115.0.0.0,Windows NT 10.0,1366x768,'-1~cl~-1cl.jpeg~78~0.2601~0~cl~0cl.jpeg~69~10.6276~1~cl~1cl.jpeg~86~1.2100000000000002~2~cl~2cl.jpeg~103~0.18489999999999998~3~cl~3cl.jpeg~100~0.010000000000000002~4~cl~4fn.jpeg~100~1~5~cl~5fn.jpeg~79~8.820900000000002~6~cl~6fn.jpeg~100~1.4884~,,7,cl
8/22/2023 15:34,8/22/2023 15:43,0,100,578,1,8/22/2023 15:43,R_1rAoEbFpbbDfk6j,anonymous,EN,1,3,1,1,2,1,yes,,,6161cb8f90364adb6016fc5a,Edge,115.0.1901.203,Windows NT 10.0,1366x768,'-1~cn~-1cn.jpeg~79~0.010000000000000002~0~cn~0cn.jpeg~116~4.2436~1~cn~1cn.jpeg~89~0.010000000000000002~2~cn~2cn.jpeg~113~0.010000000000000002~3~cn~3cn.jpeg~118~0.010000000000000002~4~cn~4fl.jpeg~123~0.010000000000000002~5~cn~5fl.jpeg~68~0.010000000000000002~6~cn~6fl.jpeg~140~0.010000000000000002~,,7,cn
8/22/2023 15:33,8/22/2023 15:45,0,100,687,1,8/22/2023 15:45,R_1kMQ1g4cyw8uLbo,anonymous,EN,1,1,1,1,2,3,yes,,,5f7229ef1f8432123d3df17d,Chrome,115.0.0.0,Windows NT 10.0,1536x864,'-1~fn~-1fn.jpeg~78~1.1025~0~fn~0fn.jpeg~116~1.7956000000000003~1~fn~1fn.jpeg~79~4.3264000000000005~2~fn~2fn.jpeg~84~2.5921000000000003~3~fn~3fn.jpeg~120~0.010000000000000002~4~fn~4cl.jpeg~110~0.0625~5~fn~5cl.jpeg~80~0.2304~6~fn~6cl.jpeg~115~3.1684~,,7,fn
