"event","bin","PRPGDP"
1968,7,4.3
1969,7,4.9
1970,6,5.3
1971,6,5.1
1972,7,4.3
1973,8,5.5
1974,8,9
1975,8,9.3
1976,12,5.5
1977,11,6.2
1978,10,7
1979,9,8.3
1980,8,9
1981,3,9.5
1982,4,6.2
1983,6,3.9
1984,6,3.6
1985,5,3.2
1986,5,2
1987,5,2.5
1988,5,3.5
1989,5,3.9
1990,5,3.8
1991,5,3.4
1992,7,2.3
1993,7,2.4
1994,7,2.1
1995,7,2.1
1996,8,1.8
1997,8,1.7
1998,8,1.1
1999,8,1.4
2000,7,2.3
2001,7,2.3
2002,8,1.5
2003,7,2
2004,7,2.7
2005,6,3.1
2006,6,3.1
2007,7,2.7
2008,8,1.9
2009,9,0.7
2010,8,1.2
2011,7,2.1
2012,8,1.9
2013,8,1.8
2014,6,1.9
2015,7,1
2016,7,1
2017,6,1.9
2018,5,2.4
2019,6,1.8
2020,7,1.3
2021,1,4.2
