"Year","Quarter","RECESS","event","bin"
1968,4,0,1969,0
1969,1,0,1969.25,0
1969,2,0,1969.5,0
1969,3,0,1969.75,0
1969,4,1,1970,1
1970,1,1,1970.25,1
1970,2,0,1970.5,0
1970,3,0,1970.75,0
1970,4,1,1971,1
1971,1,0,1971.25,0
1971,2,0,1971.5,0
1971,3,0,1971.75,0
1971,4,0,1972,0
1972,1,0,1972.25,0
1972,2,0,1972.5,0
1972,3,0,1972.75,0
1972,4,0,1973,0
1973,1,0,1973.25,0
1973,2,0,1973.5,0
1973,3,1,1973.75,1
1973,4,0,1974,0
1974,1,1,1974.25,1
1974,2,0,1974.5,0
1974,3,1,1974.75,1
1974,4,1,1975,1
1975,1,1,1975.25,1
1975,2,0,1975.5,0
1975,3,0,1975.75,0
1975,4,0,1976,0
1976,1,0,1976.25,0
1976,2,0,1976.5,0
1976,3,0,1976.75,0
1976,4,0,1977,0
1977,1,0,1977.25,0
1977,2,0,1977.5,0
1977,3,0,1977.75,0
1977,4,1,1978,1
1978,1,0,1978.25,0
1978,2,0,1978.5,0
1978,3,0,1978.75,0
1978,4,0,1979,0
1979,1,0,1979.25,0
1979,2,0,1979.5,0
1979,3,0,1979.75,0
1979,4,0,1980,0
1980,1,0,1980.25,0
1980,2,1,1980.5,1
1980,3,1,1980.75,1
1980,4,0,1981,0
1981,1,0,1981.25,0
1981,2,1,1981.5,1
1981,3,0,1981.75,0
1981,4,1,1982,1
1982,1,1,1982.25,1
1982,2,0,1982.5,0
1982,3,1,1982.75,1
1982,4,0,1983,0
1983,1,0,1983.25,0
1983,2,0,1983.5,0
1983,3,0,1983.75,0
1983,4,0,1984,0
1984,1,0,1984.25,0
1984,2,0,1984.5,0
1984,3,0,1984.75,0
1984,4,0,1985,0
1985,1,0,1985.25,0
1985,2,0,1985.5,0
1985,3,0,1985.75,0
1985,4,0,1986,0
1986,1,0,1986.25,0
1986,2,0,1986.5,0
1986,3,0,1986.75,0
1986,4,0,1987,0
1987,1,0,1987.25,0
1987,2,0,1987.5,0
1987,3,0,1987.75,0
1987,4,0,1988,0
1988,1,0,1988.25,0
1988,2,0,1988.5,0
1988,3,0,1988.75,0
1988,4,0,1989,0
1989,1,0,1989.25,0
1989,2,0,1989.5,0
1989,3,0,1989.75,0
1989,4,0,1990,0
1990,1,0,1990.25,0
1990,2,0,1990.5,0
1990,3,1,1990.75,1
1990,4,1,1991,1
1991,1,1,1991.25,1
1991,2,0,1991.5,0
1991,3,0,1991.75,0
1991,4,0,1992,0
1992,1,0,1992.25,0
1992,2,0,1992.5,0
1992,3,0,1992.75,0
1992,4,0,1993,0
1993,1,0,1993.25,0
1993,2,0,1993.5,0
1993,3,0,1993.75,0
1993,4,0,1994,0
1994,1,0,1994.25,0
1994,2,0,1994.5,0
1994,3,0,1994.75,0
1994,4,0,1995,0
1995,1,0,1995.25,0
1995,2,0,1995.5,0
1995,3,0,1995.75,0
1995,4,0,1996,0
1996,1,0,1996.25,0
1996,2,0,1996.5,0
1996,3,0,1996.75,0
1996,4,0,1997,0
1997,1,0,1997.25,0
1997,2,0,1997.5,0
1997,3,0,1997.75,0
1997,4,0,1998,0
1998,1,0,1998.25,0
1998,2,0,1998.5,0
1998,3,0,1998.75,0
1998,4,0,1999,0
1999,1,0,1999.25,0
1999,2,0,1999.5,0
1999,3,0,1999.75,0
1999,4,0,2000,0
2000,1,0,2000.25,0
2000,2,0,2000.5,0
2000,3,0,2000.75,0
2000,4,0,2001,0
2001,1,1,2001.25,1
2001,2,0,2001.5,0
2001,3,1,2001.75,1
2001,4,0,2002,0
2002,1,0,2002.25,0
2002,2,0,2002.5,0
2002,3,0,2002.75,0
2002,4,0,2003,0
2003,1,0,2003.25,0
2003,2,0,2003.5,0
2003,3,0,2003.75,0
2003,4,0,2004,0
2004,1,0,2004.25,0
2004,2,0,2004.5,0
2004,3,0,2004.75,0
2004,4,0,2005,0
2005,1,0,2005.25,0
2005,2,0,2005.5,0
2005,3,0,2005.75,0
2005,4,0,2006,0
2006,1,0,2006.25,0
2006,2,0,2006.5,0
