"event","time","p","resolution","quarter","bin","realization","grpd_time_event"
2007,2007.125,0.00142857142857143,1,1,1,2.31034,1
2007,2007.125,0.0102380952380952,1,1,2,2.31034,1
2007,2007.125,0.0671428571428571,1,1,3,2.31034,1
2007,2007.125,0.266666666666667,1,1,4,2.31034,1
2007,2007.125,0.405714285714286,1,1,5,2.31034,1
2007,2007.125,0.182380952380952,1,1,6,2.31034,1
2007,2007.125,0.050952380952381,1,1,7,2.31034,1
2007,2007.125,0.0123571428571429,1,1,8,2.31034,1
2007,2007.125,0.00288095238095238,1,1,9,2.31034,1
2007,2007.125,0.000238095238095238,1,1,10,2.31034,1
2007,2007.375,0.00166666666666667,1,2,1,2.31034,3
2007,2007.375,0.0104761904761905,1,2,2,2.31034,3
2007,2007.375,0.0776190476190476,1,2,3,2.31034,3
2007,2007.375,0.322619047619048,1,2,4,2.31034,3
2007,2007.375,0.420238095238095,1,2,5,2.31034,3
2007,2007.375,0.134166666666667,1,2,6,2.31034,3
2007,2007.375,0.0265476190476191,1,2,7,2.31034,3
2007,2007.375,0.00404761904761905,1,2,8,2.31034,3
2007,2007.375,0.00214285714285714,1,2,9,2.31034,3
2007,2007.375,0.000476190476190476,1,2,10,2.31034,3
2007,2007.625,0.00102564102564103,1,3,1,2.31034,5
2007,2007.625,0.00743589743589743,1,3,2,2.31034,5
2007,2007.625,0.0571794871794872,1,3,3,2.31034,5
2007,2007.625,0.24974358974359,1,3,4,2.31034,5
2007,2007.625,0.453076923076923,1,3,5,2.31034,5
2007,2007.625,0.191025641025641,1,3,6,2.31034,5
2007,2007.625,0.027948717948718,1,3,7,2.31034,5
2007,2007.625,0.0115384615384615,1,3,8,2.31034,5
2007,2007.625,0.000512820512820513,1,3,9,2.31034,5
2007,2007.625,0.000512820512820513,1,3,10,2.31034,5
2007,2007.875,0.00619047619047619,1,4,1,2.31034,7
2007,2007.875,0.015,1,4,2,2.31034,7
2007,2007.875,0.0402380952380952,1,4,3,2.31034,7
2007,2007.875,0.196904761904762,1,4,4,2.31034,7
2007,2007.875,0.535952380952381,1,4,5,2.31034,7
2007,2007.875,0.172619047619048,1,4,6,2.31034,7
2007,2007.875,0.0276190476190476,1,4,7,2.31034,7
2007,2007.875,0.00333333333333333,1,4,8,2.31034,7
2007,2007.875,0.00166666666666667,1,4,9,2.31034,7
2007,2007.875,0.000476190476190476,1,4,10,2.31034,7
2007,2007.999,0,2,5,1,2.31034,9
2007,2007.999,0,2,5,2,2.31034,9
2007,2007.999,0,2,5,3,2.31034,9
2007,2007.999,0,2,5,4,2.31034,9
2007,2007.999,1,2,5,5,2.31034,9
2007,2007.999,0,2,5,6,2.31034,9
2007,2007.999,0,2,5,7,2.31034,9
2007,2007.999,0,2,5,8,2.31034,9
2007,2007.999,0,2,5,9,2.31034,9
2007,2007.999,0,2,5,10,2.31034,9
2008,2007.125,0.00315789473684211,1,1,1,1.99951,2
2008,2007.125,0.0115789473684211,1,1,2,1.99951,2
2008,2007.125,0.0613157894736842,1,1,3,1.99951,2
2008,2007.125,0.234473684210526,1,1,4,1.99951,2
2008,2007.125,0.392368421052632,1,1,5,1.99951,2
2008,2007.125,0.215263157894737,1,1,6,1.99951,2
