"event","time","p","resolution","quarter","bin","realization","grpd_time_event"
1968,1968.875,0.0125882352941176,1,4,1,9.4,1
1968,1968.875,0.0176470588235294,1,4,2,9.4,1
1968,1968.875,0.078,1,4,3,9.4,1
1968,1968.875,0.251294117647059,1,4,4,9.4,1
1968,1968.875,0.296470588235294,1,4,5,9.4,1
1968,1968.875,0.173882352941176,1,4,6,9.4,1
1968,1968.875,0.0734117647058824,1,4,7,9.4,1
1968,1968.875,0.0405882352941176,1,4,8,9.4,1
1968,1968.875,0.0242352941176471,1,4,9,9.4,1
1968,1968.875,0.0108235294117647,1,4,10,9.4,1
1968,1968.875,0.0149411764705882,1,4,11,9.4,1
1968,1968.875,0.00294117647058823,1,4,12,9.4,1
1968,1968.875,0.00141176470588235,1,4,13,9.4,1
1968,1968.875,0.00105882352941176,1,4,14,9.4,1
1968,1968.875,0.000823529411764706,1,4,15,9.4,1
1968,1968.999,0,2,5,1,9.4,2
1968,1968.999,1,2,5,2,9.4,2
1968,1968.999,0,2,5,3,9.4,2
1968,1968.999,0,2,5,4,9.4,2
1968,1968.999,0,2,5,5,9.4,2
1968,1968.999,0,2,5,6,9.4,2
1968,1968.999,0,2,5,7,9.4,2
1968,1968.999,0,2,5,8,9.4,2
1968,1968.999,0,2,5,9,9.4,2
1968,1968.999,0,2,5,10,9.4,2
1968,1968.999,0,2,5,11,9.4,2
1968,1968.999,0,2,5,12,9.4,2
1968,1968.999,0,2,5,13,9.4,2
1968,1968.999,0,2,5,14,9.4,2
1968,1968.999,0,2,5,15,9.4,2
1969,1969.125,0.00525423728813559,1,1,1,8.1,3
1969,1969.125,0.0369491525423729,1,1,2,8.1,3
1969,1969.125,0.083728813559322,1,1,3,8.1,3
1969,1969.125,0.281016949152542,1,1,4,8.1,3
1969,1969.125,0.311525423728814,1,1,5,8.1,3
1969,1969.125,0.147627118644068,1,1,6,8.1,3
1969,1969.125,0.0593220338983051,1,1,7,8.1,3
1969,1969.125,0.0332203389830508,1,1,8,8.1,3
1969,1969.125,0.0194915254237288,1,1,9,8.1,3
1969,1969.125,0.0108474576271186,1,1,10,8.1,3
1969,1969.125,0.00610169491525424,1,1,11,8.1,3
1969,1969.125,0.00220338983050847,1,1,12,8.1,3
1969,1969.125,0.00101694915254237,1,1,13,8.1,3
1969,1969.125,0.00101694915254237,1,1,14,8.1,3
1969,1969.125,0.000677966101694915,1,1,15,8.1,3
1969,1969.375,0.00559322033898305,1,2,1,8.1,4
1969,1969.375,0.025593220338983,1,2,2,8.1,4
1969,1969.375,0.142542372881356,1,2,3,8.1,4
1969,1969.375,0.452881355932203,1,2,4,8.1,4
1969,1969.375,0.203220338983051,1,2,5,8.1,4
1969,1969.375,0.0874576271186441,1,2,6,8.1,4
1969,1969.375,0.0440677966101695,1,2,7,8.1,4
1969,1969.375,0.0250847457627119,1,2,8,8.1,4
1969,1969.375,0.0076271186440678,1,2,9,8.1,4
1969,1969.375,0.00220338983050847,1,2,10,8.1,4
1969,1969.375,0.0011864406779661,1,2,11,8.1,4
1969,1969.375,0.000847457627118644,1,2,12,8.1,4
1969,1969.375,0.000847457627118644,1,2,13,8.1,4
