"event","time","p","resolution","quarter","bin","realization","grpd_time_event"
1968,1968.875,0.000952380952380952,1,4,1,4.3,1
1968,1968.875,0.00119047619047619,1,4,2,4.3,1
1968,1968.875,0.00511904761904762,1,4,3,4.3,1
1968,1968.875,0.0110714285714286,1,4,4,4.3,1
1968,1968.875,0.0380952380952381,1,4,5,4.3,1
1968,1968.875,0.0686904761904762,1,4,6,4.3,1
1968,1968.875,0.216428571428571,1,4,7,4.3,1
1968,1968.875,0.4175,1,4,8,4.3,1
1968,1968.875,0.150595238095238,1,4,9,4.3,1
1968,1968.875,0.0507142857142857,1,4,10,4.3,1
1968,1968.875,0.0203571428571429,1,4,11,4.3,1
1968,1968.875,0.0153571428571429,1,4,12,4.3,1
1968,1968.875,0.00214285714285714,1,4,13,4.3,1
1968,1968.875,0.000952380952380953,1,4,14,4.3,1
1968,1968.875,0.000833333333333334,1,4,15,4.3,1
1968,1968.999,0,2,5,1,4.3,2
1968,1968.999,0,2,5,2,4.3,2
1968,1968.999,0,2,5,3,4.3,2
1968,1968.999,0,2,5,4,4.3,2
1968,1968.999,0,2,5,5,4.3,2
1968,1968.999,0,2,5,6,4.3,2
1968,1968.999,1,2,5,7,4.3,2
1968,1968.999,0,2,5,8,4.3,2
1968,1968.999,0,2,5,9,4.3,2
1968,1968.999,0,2,5,10,4.3,2
1968,1968.999,0,2,5,11,4.3,2
1968,1968.999,0,2,5,12,4.3,2
1968,1968.999,0,2,5,13,4.3,2
1968,1968.999,0,2,5,14,4.3,2
1968,1968.999,0,2,5,15,4.3,2
1969,1969.125,0.000333333333333333,1,1,1,4.9,3
1969,1969.125,0.000666666666666667,1,1,2,4.9,3
1969,1969.125,0.00166666666666667,1,1,3,4.9,3
1969,1969.125,0.00433333333333333,1,1,4,4.9,3
1969,1969.125,0.0153333333333333,1,1,5,4.9,3
1969,1969.125,0.0513333333333333,1,1,6,4.9,3
1969,1969.125,0.224833333333333,1,1,7,4.9,3
1969,1969.125,0.463666666666667,1,1,8,4.9,3
1969,1969.125,0.186166666666667,1,1,9,4.9,3
1969,1969.125,0.0406666666666667,1,1,10,4.9,3
1969,1969.125,0.00833333333333333,1,1,11,4.9,3
1969,1969.125,0.00166666666666667,1,1,12,4.9,3
1969,1969.125,5e-04,1,1,13,4.9,3
1969,1969.125,0.000333333333333333,1,1,14,4.9,3
1969,1969.125,0.000166666666666667,1,1,15,4.9,3
1969,1969.375,0.000862068965517241,1,2,1,4.9,4
1969,1969.375,0.00137931034482759,1,2,2,4.9,4
1969,1969.375,0.00327586206896552,1,2,3,4.9,4
1969,1969.375,0.00672413793103448,1,2,4,4.9,4
1969,1969.375,0.0205172413793103,1,2,5,4.9,4
1969,1969.375,0.0889655172413793,1,2,6,4.9,4
1969,1969.375,0.355344827586207,1,2,7,4.9,4
1969,1969.375,0.413620689655172,1,2,8,4.9,4
1969,1969.375,0.0813793103448276,1,2,9,4.9,4
1969,1969.375,0.0174137931034483,1,2,10,4.9,4
1969,1969.375,0.00603448275862069,1,2,11,4.9,4
1969,1969.375,0.00172413793103448,1,2,12,4.9,4
1969,1969.375,0.00137931034482759,1,2,13,4.9,4
1969,1969.375,0.000862068965517241,1,2,14,4.9,4
1969,1969.375,0.000689655172413793,1,2,15,4.9,4
1969,1969.625,0.00179245283018868,1,3,1,4.9,5
1969,1969.625,0.0039622641509434,1,3,2,4.9,5
1969,1969.625,0.00924528301886792,1,3,3,4.9,5
1969,1969.625,0.030188679245283,1,3,4,4.9,5
1969,1969.625,0.0642452830188679,1,3,5,4.9,5
1969,1969.625,0.108490566037736,1,3,6,4.9,5
1969,1969.625,0.288396226415094,1,3,7,4.9,5
1969,1969.625,0.248018867924528,1,3,8,4.9,5
1969,1969.625,0.121603773584906,1,3,9,4.9,5
1969,1969.625,0.0628301886792453,1,3,10,4.9,5
1969,1969.625,0.0329245283018868,1,3,11,4.9,5
1969,1969.625,0.0180188679245283,1,3,12,4.9,5
1969,1969.625,0.00660377358490566,1,3,13,4.9,5
1969,1969.625,0.00254716981132076,1,3,14,4.9,5
1969,1969.625,0.00141509433962264,1,3,15,4.9,5
1969,1969.875,0.00037037037037037,1,4,1,4.9,6
1969,1969.875,0.00074074074074074,1,4,2,4.9,6
1969,1969.875,0.00259259259259259,1,4,3,4.9,6
1969,1969.875,0.00722222222222222,1,4,4,4.9,6
1969,1969.875,0.0351851851851852,1,4,5,4.9,6
1969,1969.875,0.16037037037037,1,4,6,4.9,6
1969,1969.875,0.475740740740741,1,4,7,4.9,6
1969,1969.875,0.247222222222222,1,4,8,4.9,6
1969,1969.875,0.0448148148148148,1,4,9,4.9,6
1969,1969.875,0.0135185185185185,1,4,10,4.9,6
1969,1969.875,0.0087037037037037,1,4,11,4.9,6
1969,1969.875,0.00259259259259259,1,4,12,4.9,6
1969,1969.875,0.00037037037037037,1,4,13,4.9,6
1969,1969.875,0.00037037037037037,1,4,14,4.9,6
1969,1969.875,0.00037037037037037,1,4,15,4.9,6
1969,1969.999,0,2,5,1,4.9,7
1969,1969.999,0,2,5,2,4.9,7
1969,1969.999,0,2,5,3,4.9,7
1969,1969.999,0,2,5,4,4.9,7
1969,1969.999,0,2,5,5,4.9,7
1969,1969.999,0,2,5,6,4.9,7
1969,1969.999,1,2,5,7,4.9,7
1969,1969.999,0,2,5,8,4.9,7
1969,1969.999,0,2,5,9,4.9,7
1969,1969.999,0,2,5,10,4.9,7
1969,1969.999,0,2,5,11,4.9,7
1969,1969.999,0,2,5,12,4.9,7
1969,1969.999,0,2,5,13,4.9,7
1969,1969.999,0,2,5,14,4.9,7
1969,1969.999,0,2,5,15,4.9,7
