"event","time","p","resolution","quarter","bin","Year","Quarter","realization","grpd_time_event"
1969,1968.875,0.1215,1,4,1,NA,NA,NA,1
1969.25,1968.875,0.234,1,4,1,NA,NA,NA,2
1969.25,1969.125,0.158846153846154,1,1,1,NA,NA,NA,6
1969.5,1968.875,0.236666666666667,1,4,1,NA,NA,NA,3
1969.5,1969.125,0.220408163265306,1,1,1,NA,NA,NA,7
1969.5,1969.375,0.15,1,2,1,NA,NA,NA,10
1969.75,1968.875,0.181166666666667,1,4,1,NA,NA,NA,4
1969.75,1969.125,0.203125,1,1,1,NA,NA,NA,8
1969.75,1969.375,0.123913043478261,1,2,1,NA,NA,NA,11
1969.75,1969.625,0.245932203389831,1,3,1,NA,NA,NA,15
1970,1968.875,0.153653846153846,1,4,1,1969,4,1,5
1970,1969.125,0.170232558139535,1,1,1,1969,4,1,9
1970,1969.375,0.17952380952381,1,2,1,1969,4,1,12
1970,1969.625,0.291789473684211,1,3,1,1969,4,1,16
1970,1969.875,0.349148936170213,1,4,1,1969,4,1,19
1970,1969.999,1,2,5,1,1969,4,1,24
1970.25,1969.375,0.246346153846154,1,2,1,1970,1,1,13
1970.25,1969.625,0.3474,1,3,1,1970,1,1,17
1970.25,1969.875,0.450363636363636,1,4,1,1970,1,1,20
1970.25,1970.125,0.632545454545455,1,1,1,1970,1,1,25
1970.25,1970.249,1,2,5,1,1970,1,1,29
1970.5,1969.375,0.25531914893617,1,2,1,NA,NA,NA,14
1970.5,1969.625,0.277525773195876,1,3,1,NA,NA,NA,18
1970.5,1969.875,0.420943396226415,1,4,1,NA,NA,NA,21
1970.5,1970.125,0.467090909090909,1,1,1,NA,NA,NA,26
1970.5,1970.375,0.511777777777778,1,2,1,NA,NA,NA,30
1970.75,1969.875,0.249387755102041,1,4,1,NA,NA,NA,22
1970.75,1970.125,0.287,1,1,1,NA,NA,NA,27
1970.75,1970.375,0.317906976744186,1,2,1,NA,NA,NA,31
1970.75,1970.625,0.414102564102564,1,3,1,NA,NA,NA,35
1971,1969.875,0.171219512195122,1,4,1,1970,4,1,23
1971,1970.125,0.178636363636364,1,1,1,1970,4,1,28
1971,1970.375,0.216944444444444,1,2,1,1970,4,1,32
1971,1970.625,0.26530612244898,1,3,1,1970,4,1,36
1971,1970.875,0.632432432432432,1,4,1,1970,4,1,40
1971,1970.999,1,2,5,1,1970,4,1,45
1971.25,1970.375,0.147,1,2,1,NA,NA,NA,33
1971.25,1970.625,0.204565217391304,1,3,1,NA,NA,NA,37
1971.25,1970.875,0.200875,1,4,1,NA,NA,NA,41
1971.25,1971.125,0.165294117647059,1,1,1,NA,NA,NA,46
1971.5,1970.375,0.1,1,2,1,NA,NA,NA,34
1971.5,1970.625,0.148611111111111,1,3,1,NA,NA,NA,38
1971.5,1970.875,0.17126582278481,1,4,1,NA,NA,NA,42
1971.5,1971.125,0.131071428571429,1,1,1,NA,NA,NA,47
1971.5,1971.375,0.111,1,2,1,NA,NA,NA,51
1971.75,1970.625,0.107352941176471,1,3,1,NA,NA,NA,39
1971.75,1970.875,0.219042553191489,1,4,1,NA,NA,NA,43
1971.75,1971.125,0.259555555555556,1,1,1,NA,NA,NA,48
1971.75,1971.375,0.21375,1,2,1,NA,NA,NA,52
1971.75,1971.625,0.17546875,1,3,1,NA,NA,NA,56
1972,1970.875,0.182674418604651,1,4,1,NA,NA,NA,44
1972,1971.125,0.126578947368421,1,1,1,NA,NA,NA,49
1972,1971.375,0.108484848484848,1,2,1,NA,NA,NA,53
1972,1971.625,0.137678571428571,1,3,1,NA,NA,NA,57
1972,1971.875,0.119565217391304,1,4,1,NA,NA,NA,61
1972.25,1971.125,0.121935483870968,1,1,1,NA,NA,NA,50
1972.25,1971.375,0.0928571428571429,1,2,1,NA,NA,NA,54
1972.25,1971.625,0.134385964912281,1,3,1,NA,NA,NA,58
1972.25,1971.875,0.104722222222222,1,4,1,NA,NA,NA,62
1972.25,1972.125,0.107083333333333,1,1,1,NA,NA,NA,66
1972.5,1971.375,0.0951851851851852,1,2,1,NA,NA,NA,55
1972.5,1971.625,0.152407407407407,1,3,1,NA,NA,NA,59
1972.5,1971.875,0.110540540540541,1,4,1,NA,NA,NA,63
1972.5,1972.125,0.09625,1,1,1,NA,NA,NA,67
1972.5,1972.375,0.0853333333333333,1,2,1,NA,NA,NA,71
1972.75,1971.625,0.151,1,3,1,NA,NA,NA,60
1972.75,1971.875,0.11425,1,4,1,NA,NA,NA,64
1972.75,1972.125,0.1,1,1,1,NA,NA,NA,68
1972.75,1972.375,0.0767857142857143,1,2,1,NA,NA,NA,72
1972.75,1972.625,0.065,1,3,1,NA,NA,NA,76
1973,1971.875,0.131627906976744,1,4,1,NA,NA,NA,65
1973,1972.125,0.104358974358974,1,1,1,NA,NA,NA,69
1973,1972.375,0.10125,1,2,1,NA,NA,NA,73
1973,1972.625,0.0857142857142857,1,3,1,NA,NA,NA,77
1973,1972.875,0.0688888888888889,1,4,1,NA,NA,NA,81
1973.25,1972.125,0.135681818181818,1,1,1,NA,NA,NA,70
1973.25,1972.375,0.106590909090909,1,2,1,NA,NA,NA,74
1973.25,1972.625,0.105609756097561,1,3,1,NA,NA,NA,78
1973.25,1972.875,0.0515384615384615,1,4,1,NA,NA,NA,82
1973.25,1973.125,0.104615384615385,1,1,1,NA,NA,NA,86
1973.5,1972.375,0.123333333333333,1,2,1,NA,NA,NA,75
1973.5,1972.625,0.112045454545455,1,3,1,NA,NA,NA,79
1973.5,1972.875,0.0714285714285714,1,4,1,NA,NA,NA,83
1973.5,1973.125,0.0756666666666667,1,1,1,NA,NA,NA,87
1973.5,1973.375,0.0955555555555556,1,2,1,NA,NA,NA,91
1973.75,1972.625,0.1352,1,3,1,1973,3,1,80
1973.75,1972.875,0.117659574468085,1,4,1,1973,3,1,84
1973.75,1973.125,0.0922727272727273,1,1,1,1973,3,1,88
1973.75,1973.375,0.118823529411765,1,2,1,1973,3,1,92
1973.75,1973.625,0.08875,1,3,1,1973,3,1,96
