"event","quarter","bin","time","resolution","realization","binL","binH","binValue","grpd_event_time_bin","pAgg","dataSet"
2009,2,1,2009.375,1,9.28333333333333,11,1000,12,1,0.0107944680851064,"PRUNEMP"
2009,2,2,2009.375,1,9.28333333333333,10,11,10.5,2,0.0417659574468085,"PRUNEMP"
2009,2,3,2009.375,1,9.28333333333333,9.5,10,9.75,3,0.19236170212766,"PRUNEMP"
2009,2,4,2009.375,1,9.28333333333333,9,9.5,9.25,4,0.474531914893617,"PRUNEMP"
2009,2,5,2009.375,1,9.28333333333333,8.5,9,8.75,5,0.223170212765957,"PRUNEMP"
2009,2,6,2009.375,1,9.28333333333333,8,8.5,8.25,6,0.043936170212766,"PRUNEMP"
2009,2,7,2009.375,1,9.28333333333333,7.5,8,7.75,7,0.00888297872340426,"PRUNEMP"
2009,2,8,2009.375,1,9.28333333333333,7,7.5,7.25,8,0.00264042553191489,"PRUNEMP"
2009,2,9,2009.375,1,9.28333333333333,6,7,6.5,9,0.00089468085106383,"PRUNEMP"
2009,2,10,2009.375,1,9.28333333333333,-1000,6,5,10,0.00102148936170213,"PRUNEMP"
2009,3,1,2009.625,1,9.28333333333333,11,1000,12,11,0.00736363636363636,"PRUNEMP"
2009,3,2,2009.625,1,9.28333333333333,10,11,10.5,12,0.0524545454545454,"PRUNEMP"
2009,3,3,2009.625,1,9.28333333333333,9.5,10,9.75,13,0.252666666666667,"PRUNEMP"
2009,3,4,2009.625,1,9.28333333333333,9,9.5,9.25,14,0.562151515151515,"PRUNEMP"
2009,3,5,2009.625,1,9.28333333333333,8.5,9,8.75,15,0.0945151515151515,"PRUNEMP"
2009,3,6,2009.625,1,9.28333333333333,8,8.5,8.25,16,0.0217272727272727,"PRUNEMP"
2009,3,7,2009.625,1,9.28333333333333,7.5,8,7.75,17,0.00593939393939394,"PRUNEMP"
2009,3,8,2009.625,1,9.28333333333333,7,7.5,7.25,18,0.00236363636363636,"PRUNEMP"
2009,3,9,2009.625,1,9.28333333333333,6,7,6.5,19,0.000636363636363636,"PRUNEMP"
2009,3,10,2009.625,1,9.28333333333333,-1000,6,5,20,0.000151515151515151,"PRUNEMP"
2009,4,1,2009.875,1,9.28333333333333,11,1000,12,21,0.00236842105263158,"PRUNEMP"
2009,4,2,2009.875,1,9.28333333333333,10,11,10.5,22,0.0169736842105263,"PRUNEMP"
2009,4,3,2009.875,1,9.28333333333333,9.5,10,9.75,23,0.162236842105263,"PRUNEMP"
2009,4,4,2009.875,1,9.28333333333333,9,9.5,9.25,24,0.745,"PRUNEMP"
2009,4,5,2009.875,1,9.28333333333333,8.5,9,8.75,25,0.0457894736842105,"PRUNEMP"
2009,4,6,2009.875,1,9.28333333333333,8,8.5,8.25,26,0.0139473684210526,"PRUNEMP"
2009,4,7,2009.875,1,9.28333333333333,7.5,8,7.75,27,0.00789473684210526,"PRUNEMP"
2009,4,8,2009.875,1,9.28333333333333,7,7.5,7.25,28,0.00289473684210526,"PRUNEMP"
2009,4,9,2009.875,1,9.28333333333333,6,7,6.5,29,0.00223684210526316,"PRUNEMP"
2009,4,10,2009.875,1,9.28333333333333,-1000,6,5,30,0.000657894736842105,"PRUNEMP"
2010,2,1,2009.375,1,9.60833333333333,11,1000,12,31,0.0433404255319149,"PRUNEMP"
2010,2,2,2009.375,1,9.60833333333333,10,11,10.5,32,0.200255319148936,"PRUNEMP"
2010,2,3,2009.375,1,9.60833333333333,9.5,10,9.75,33,0.277468085106383,"PRUNEMP"
2010,2,4,2009.375,1,9.60833333333333,9,9.5,9.25,34,0.24363829787234,"PRUNEMP"
2010,2,5,2009.375,1,9.60833333333333,8.5,9,8.75,35,0.122829787234043,"PRUNEMP"
2010,2,6,2009.375,1,9.60833333333333,8,8.5,8.25,36,0.0621914893617021,"PRUNEMP"
2010,2,7,2009.375,1,9.60833333333333,7.5,8,7.75,37,0.0292553191489362,"PRUNEMP"
2010,2,8,2009.375,1,9.60833333333333,7,7.5,7.25,38,0.0119574468085106,"PRUNEMP"
2010,2,9,2009.375,1,9.60833333333333,6,7,6.5,39,0.00523404255319149,"PRUNEMP"
2010,2,10,2009.375,1,9.60833333333333,-1000,6,5,40,0.00382978723404255,"PRUNEMP"
2010,3,1,2009.625,1,9.60833333333333,11,1000,12,41,0.0368484848484848,"PRUNEMP"
2010,3,2,2009.625,1,9.60833333333333,10,11,10.5,42,0.189727272727273,"PRUNEMP"
2010,3,3,2009.625,1,9.60833333333333,9.5,10,9.75,43,0.334333333333333,"PRUNEMP"
2010,3,4,2009.625,1,9.60833333333333,9,9.5,9.25,44,0.224666666666667,"PRUNEMP"
2010,3,5,2009.625,1,9.60833333333333,8.5,9,8.75,45,0.118878787878788,"PRUNEMP"
2010,3,6,2009.625,1,9.60833333333333,8,8.5,8.25,46,0.0567272727272727,"PRUNEMP"
2010,3,7,2009.625,1,9.60833333333333,7.5,8,7.75,47,0.0167575757575758,"PRUNEMP"
2010,3,8,2009.625,1,9.60833333333333,7,7.5,7.25,48,0.0113333333333333,"PRUNEMP"
2010,3,9,2009.625,1,9.60833333333333,6,7,6.5,49,0.00721212121212121,"PRUNEMP"
2010,3,10,2009.625,1,9.60833333333333,-1000,6,5,50,0.00351515151515152,"PRUNEMP"
2010,4,1,2009.875,1,9.60833333333333,11,1000,12,51,0.0621052631578947,"PRUNEMP"
2010,4,2,2009.875,1,9.60833333333333,10,11,10.5,52,0.370526315789474,"PRUNEMP"
2010,4,3,2009.875,1,9.60833333333333,9.5,10,9.75,53,0.35921052631579,"PRUNEMP"
2010,4,4,2009.875,1,9.60833333333333,9,9.5,9.25,54,0.115263157894737,"PRUNEMP"
2010,4,5,2009.875,1,9.60833333333333,8.5,9,8.75,55,0.0436842105263158,"PRUNEMP"
2010,4,6,2009.875,1,9.60833333333333,8,8.5,8.25,56,0.0211842105263158,"PRUNEMP"
2010,4,7,2009.875,1,9.60833333333333,7.5,8,7.75,57,0.0105263157894737,"PRUNEMP"
2010,4,8,2009.875,1,9.60833333333333,7,7.5,7.25,58,0.00881578947368421,"PRUNEMP"
2010,4,9,2009.875,1,9.60833333333333,6,7,6.5,59,0.00592105263157895,"PRUNEMP"
2010,4,10,2009.875,1,9.60833333333333,-1000,6,5,60,0.00276315789473684,"PRUNEMP"
2010,1,1,2010.125,1,9.60833333333333,11,1000,12,61,0.0507894736842105,"PRUNEMP"
