"event","quarter","id","industry","bin","p","time","resolution","realization","binL","binH","binValue"
2009,2,20,2,1,0,2009.375,1,9.28333333333333,11,1000,12
2009,2,20,2,2,0,2009.375,1,9.28333333333333,10,11,10.5
2009,2,20,2,3,0,2009.375,1,9.28333333333333,9.5,10,9.75
2009,2,20,2,4,0.15,2009.375,1,9.28333333333333,9,9.5,9.25
2009,2,20,2,5,0.8,2009.375,1,9.28333333333333,8.5,9,8.75
2009,2,20,2,6,0.05,2009.375,1,9.28333333333333,8,8.5,8.25
2009,2,20,2,7,0,2009.375,1,9.28333333333333,7.5,8,7.75
2009,2,20,2,8,0,2009.375,1,9.28333333333333,7,7.5,7.25
2009,2,20,2,9,0,2009.375,1,9.28333333333333,6,7,6.5
2009,2,20,2,10,0,2009.375,1,9.28333333333333,-1000,6,5
2009,5,20,2,1,0,2009.999,2,9.28333333333333,11,1000,12
2009,5,20,2,2,0,2009.999,2,9.28333333333333,10,11,10.5
2009,5,20,2,3,0,2009.999,2,9.28333333333333,9.5,10,9.75
2009,5,20,2,4,1,2009.999,2,9.28333333333333,9,9.5,9.25
2009,5,20,2,5,0,2009.999,2,9.28333333333333,8.5,9,8.75
2009,5,20,2,6,0,2009.999,2,9.28333333333333,8,8.5,8.25
2009,5,20,2,7,0,2009.999,2,9.28333333333333,7.5,8,7.75
2009,5,20,2,8,0,2009.999,2,9.28333333333333,7,7.5,7.25
2009,5,20,2,9,0,2009.999,2,9.28333333333333,6,7,6.5
2009,5,20,2,10,0,2009.999,2,9.28333333333333,-1000,6,5
2010,2,20,2,1,0,2009.375,1,9.60833333333333,11,1000,12
2010,2,20,2,2,0,2009.375,1,9.60833333333333,10,11,10.5
2010,2,20,2,3,0.2,2009.375,1,9.60833333333333,9.5,10,9.75
2010,2,20,2,4,0.6,2009.375,1,9.60833333333333,9,9.5,9.25
2010,2,20,2,5,0.2,2009.375,1,9.60833333333333,8.5,9,8.75
2010,2,20,2,6,0,2009.375,1,9.60833333333333,8,8.5,8.25
2010,2,20,2,7,0,2009.375,1,9.60833333333333,7.5,8,7.75
2010,2,20,2,8,0,2009.375,1,9.60833333333333,7,7.5,7.25
2010,2,20,2,9,0,2009.375,1,9.60833333333333,6,7,6.5
2010,2,20,2,10,0,2009.375,1,9.60833333333333,-1000,6,5
2010,5,20,2,1,0,2010.999,2,9.60833333333333,11,1000,12
2010,5,20,2,2,0,2010.999,2,9.60833333333333,10,11,10.5
2010,5,20,2,3,1,2010.999,2,9.60833333333333,9.5,10,9.75
2010,5,20,2,4,0,2010.999,2,9.60833333333333,9,9.5,9.25
2010,5,20,2,5,0,2010.999,2,9.60833333333333,8.5,9,8.75
2010,5,20,2,6,0,2010.999,2,9.60833333333333,8,8.5,8.25
2010,5,20,2,7,0,2010.999,2,9.60833333333333,7.5,8,7.75
2010,5,20,2,8,0,2010.999,2,9.60833333333333,7,7.5,7.25
2010,5,20,2,9,0,2010.999,2,9.60833333333333,6,7,6.5
2010,5,20,2,10,0,2010.999,2,9.60833333333333,-1000,6,5
2011,2,20,2,1,0,2009.375,1,8.93333333333333,11,1000,12
2011,2,20,2,2,0,2009.375,1,8.93333333333333,10,11,10.5
2011,2,20,2,3,0,2009.375,1,8.93333333333333,9.5,10,9.75
2011,2,20,2,4,0.2,2009.375,1,8.93333333333333,9,9.5,9.25
2011,2,20,2,5,0.6,2009.375,1,8.93333333333333,8.5,9,8.75
2011,2,20,2,6,0.2,2009.375,1,8.93333333333333,8,8.5,8.25
2011,2,20,2,7,0,2009.375,1,8.93333333333333,7.5,8,7.75
2011,2,20,2,8,0,2009.375,1,8.93333333333333,7,7.5,7.25
2011,2,20,2,9,0,2009.375,1,8.93333333333333,6,7,6.5
2011,2,20,2,10,0,2009.375,1,8.93333333333333,-1000,6,5
2011,5,20,2,1,0,2011.999,2,8.93333333333333,11,1000,12
2011,5,20,2,2,0,2011.999,2,8.93333333333333,10,11,10.5
2011,5,20,2,3,0,2011.999,2,8.93333333333333,9.5,10,9.75
2011,5,20,2,4,0,2011.999,2,8.93333333333333,9,9.5,9.25
2011,5,20,2,5,1,2011.999,2,8.93333333333333,8.5,9,8.75
2011,5,20,2,6,0,2011.999,2,8.93333333333333,8,8.5,8.25
2011,5,20,2,7,0,2011.999,2,8.93333333333333,7.5,8,7.75
2011,5,20,2,8,0,2011.999,2,8.93333333333333,7,7.5,7.25
2011,5,20,2,9,0,2011.999,2,8.93333333333333,6,7,6.5
2011,5,20,2,10,0,2011.999,2,8.93333333333333,-1000,6,5
2012,2,20,2,1,0,2009.375,1,8.075,11,1000,12
2012,2,20,2,2,0,2009.375,1,8.075,10,11,10.5
2012,2,20,2,3,0,2009.375,1,8.075,9.5,10,9.75
2012,2,20,2,4,0,2009.375,1,8.075,9,9.5,9.25
2012,2,20,2,5,0,2009.375,1,8.075,8.5,9,8.75
2012,2,20,2,6,0.1,2009.375,1,8.075,8,8.5,8.25
2012,2,20,2,7,0.6,2009.375,1,8.075,7.5,8,7.75
2012,2,20,2,8,0.3,2009.375,1,8.075,7,7.5,7.25
2012,2,20,2,9,0,2009.375,1,8.075,6,7,6.5
2012,2,20,2,10,0,2009.375,1,8.075,-1000,6,5
2012,5,20,2,1,0,2012.999,2,8.075,11,1000,12
2012,5,20,2,2,0,2012.999,2,8.075,10,11,10.5
2012,5,20,2,3,0,2012.999,2,8.075,9.5,10,9.75
2012,5,20,2,4,0,2012.999,2,8.075,9,9.5,9.25
2012,5,20,2,5,0,2012.999,2,8.075,8.5,9,8.75
2012,5,20,2,6,1,2012.999,2,8.075,8,8.5,8.25
2012,5,20,2,7,0,2012.999,2,8.075,7.5,8,7.75
2012,5,20,2,8,0,2012.999,2,8.075,7,7.5,7.25
2012,5,20,2,9,0,2012.999,2,8.075,6,7,6.5
2012,5,20,2,10,0,2012.999,2,8.075,-1000,6,5
2009,2,84,1,1,0,2009.375,1,9.28333333333333,11,1000,12
2009,2,84,1,2,0.01,2009.375,1,9.28333333333333,10,11,10.5
2009,2,84,1,3,0.15,2009.375,1,9.28333333333333,9.5,10,9.75
2009,2,84,1,4,0.75,2009.375,1,9.28333333333333,9,9.5,9.25
2009,2,84,1,5,0.09,2009.375,1,9.28333333333333,8.5,9,8.75
2009,2,84,1,6,0,2009.375,1,9.28333333333333,8,8.5,8.25
2009,2,84,1,7,0,2009.375,1,9.28333333333333,7.5,8,7.75
2009,2,84,1,8,0,2009.375,1,9.28333333333333,7,7.5,7.25
2009,2,84,1,9,0,2009.375,1,9.28333333333333,6,7,6.5
2009,2,84,1,10,0,2009.375,1,9.28333333333333,-1000,6,5
2009,3,84,1,1,0,2009.625,1,9.28333333333333,11,1000,12
2009,3,84,1,2,0,2009.625,1,9.28333333333333,10,11,10.5
2009,3,84,1,3,0.04,2009.625,1,9.28333333333333,9.5,10,9.75
2009,3,84,1,4,0.95,2009.625,1,9.28333333333333,9,9.5,9.25
2009,3,84,1,5,0.01,2009.625,1,9.28333333333333,8.5,9,8.75
2009,3,84,1,6,0,2009.625,1,9.28333333333333,8,8.5,8.25
2009,3,84,1,7,0,2009.625,1,9.28333333333333,7.5,8,7.75
2009,3,84,1,8,0,2009.625,1,9.28333333333333,7,7.5,7.25
2009,3,84,1,9,0,2009.625,1,9.28333333333333,6,7,6.5
2009,3,84,1,10,0,2009.625,1,9.28333333333333,-1000,6,5
