"event","quarter","id","industry","bin","p","time","Year","Quarter","resolution","realization","binL","binH","binValue"
1969.25,4,1,"#N/A",1,0.1,1968.875,NA,NA,1,NA,1,1,1
1969.5,4,1,"#N/A",1,0.1,1968.875,NA,NA,1,NA,1,1,1
1969.75,4,1,"#N/A",1,0.1,1968.875,NA,NA,1,NA,1,1,1
1970,3,1,"#N/A",1,0.3,1969.625,1969,4,1,1,1,1,1
1970,4,1,"#N/A",1,0.2,1969.875,1969,4,1,1,1,1,1
1970,5,1,"#N/A",1,1,1969.999,1969,4,2,1,1,1,1
1970.25,3,1,"#N/A",1,0.4,1969.625,1970,1,1,1,1,1,1
1970.25,4,1,"#N/A",1,0.4,1969.875,1970,1,1,1,1,1,1
1970.25,1,1,"#N/A",1,0.8,1970.125,1970,1,1,1,1,1,1
1970.25,5,1,"#N/A",1,1,1970.249,1970,1,2,1,1,1,1
1970.5,4,1,"#N/A",1,0.4,1969.875,NA,NA,1,NA,1,1,1
1970.5,1,1,"#N/A",1,0.5,1970.125,NA,NA,1,NA,1,1,1
1970.5,2,1,"#N/A",1,0.6,1970.375,NA,NA,1,NA,1,1,1
1970.75,4,1,"#N/A",1,0.1,1969.875,NA,NA,1,NA,1,1,1
1970.75,1,1,"#N/A",1,0.4,1970.125,NA,NA,1,NA,1,1,1
1970.75,2,1,"#N/A",1,0.3,1970.375,NA,NA,1,NA,1,1,1
1970.75,3,1,"#N/A",1,0.05,1970.625,NA,NA,1,NA,1,1,1
1971,1,1,"#N/A",1,0.2,1970.125,1970,4,1,1,1,1,1
1971,2,1,"#N/A",1,0.1,1970.375,1970,4,1,1,1,1,1
1971,3,1,"#N/A",1,0.2,1970.625,1970,4,1,1,1,1,1
1971,4,1,"#N/A",1,0.5,1970.875,1970,4,1,1,1,1,1
1971,5,1,"#N/A",1,1,1970.999,1970,4,2,1,1,1,1
1971.25,2,1,"#N/A",1,0.1,1970.375,NA,NA,1,NA,1,1,1
1971.25,3,1,"#N/A",1,0.1,1970.625,NA,NA,1,NA,1,1,1
1971.5,3,1,"#N/A",1,0.05,1970.625,NA,NA,1,NA,1,1,1
1971.75,3,1,"#N/A",1,0.05,1970.625,NA,NA,1,NA,1,1,1
1971.75,1,1,"#N/A",1,0.1,1971.125,NA,NA,1,NA,1,1,1
1971.75,2,1,"#N/A",1,0.3,1971.375,NA,NA,1,NA,1,1,1
1971.75,3,1,"#N/A",1,0.1,1971.625,NA,NA,1,NA,1,1,1
1972,1,1,"#N/A",1,0.05,1971.125,NA,NA,1,NA,1,1,1
1972.75,4,1,"#N/A",1,0.1,1971.875,NA,NA,1,NA,1,1,1
1973,4,1,"#N/A",1,0.2,1971.875,NA,NA,1,NA,1,1,1
