"event","quarter","id","industry","bin","p","time","resolution","realization"
2007,1,20,"2.0000",1,0,2007.125,1,2.3
2007,1,20,"2.0000",2,0,2007.125,1,2.3
2007,1,20,"2.0000",3,0.1,2007.125,1,2.3
2007,1,20,"2.0000",4,0.2,2007.125,1,2.3
2007,1,20,"2.0000",5,0.6,2007.125,1,2.3
2007,1,20,"2.0000",6,0.1,2007.125,1,2.3
2007,1,20,"2.0000",7,0,2007.125,1,2.3
2007,1,20,"2.0000",8,0,2007.125,1,2.3
2007,1,20,"2.0000",9,0,2007.125,1,2.3
2007,1,20,"2.0000",10,0,2007.125,1,2.3
2007,2,20,"2.0000",1,0,2007.375,1,2.3
2007,2,20,"2.0000",2,0,2007.375,1,2.3
2007,2,20,"2.0000",3,0,2007.375,1,2.3
2007,2,20,"2.0000",4,0.2,2007.375,1,2.3
2007,2,20,"2.0000",5,0.7,2007.375,1,2.3
2007,2,20,"2.0000",6,0.1,2007.375,1,2.3
2007,2,20,"2.0000",7,0,2007.375,1,2.3
2007,2,20,"2.0000",8,0,2007.375,1,2.3
2007,2,20,"2.0000",9,0,2007.375,1,2.3
2007,2,20,"2.0000",10,0,2007.375,1,2.3
2007,3,20,"2.0000",1,0,2007.625,1,2.3
2007,3,20,"2.0000",2,0,2007.625,1,2.3
2007,3,20,"2.0000",3,0,2007.625,1,2.3
2007,3,20,"2.0000",4,0,2007.625,1,2.3
2007,3,20,"2.0000",5,0.3,2007.625,1,2.3
2007,3,20,"2.0000",6,0.3,2007.625,1,2.3
2007,3,20,"2.0000",7,0.2,2007.625,1,2.3
2007,3,20,"2.0000",8,0.2,2007.625,1,2.3
2007,3,20,"2.0000",9,0,2007.625,1,2.3
2007,3,20,"2.0000",10,0,2007.625,1,2.3
2007,4,20,"2.0000",1,0,2007.875,1,2.3
2007,4,20,"2.0000",2,0,2007.875,1,2.3
2007,4,20,"2.0000",3,0,2007.875,1,2.3
2007,4,20,"2.0000",4,0,2007.875,1,2.3
2007,4,20,"2.0000",5,0,2007.875,1,2.3
2007,4,20,"2.0000",6,0.4,2007.875,1,2.3
2007,4,20,"2.0000",7,0.4,2007.875,1,2.3
2007,4,20,"2.0000",8,0.2,2007.875,1,2.3
2007,4,20,"2.0000",9,0,2007.875,1,2.3
2007,4,20,"2.0000",10,0,2007.875,1,2.3
2007,5,20,"2.0000",1,0,2007.999,2,2.3
2007,5,20,"2.0000",2,0,2007.999,2,2.3
2007,5,20,"2.0000",3,0,2007.999,2,2.3
2007,5,20,"2.0000",4,0,2007.999,2,2.3
2007,5,20,"2.0000",5,1,2007.999,2,2.3
2007,5,20,"2.0000",6,0,2007.999,2,2.3
2007,5,20,"2.0000",7,0,2007.999,2,2.3
2007,5,20,"2.0000",8,0,2007.999,2,2.3
2007,5,20,"2.0000",9,0,2007.999,2,2.3
2007,5,20,"2.0000",10,0,2007.999,2,2.3
2008,1,20,"2.0000",1,0,2007.125,1,1.4
