"event","quarter","time","resolution","realization","grpd_event_time_bin","dataSet","grpd_time_event","EV","VarPredictedAgg","sqDevFromRealizationAgg","errorAgg","perc_errorAgg","avg_disagreementEV"
2007,1,2007.125,1,2.31034,1,"PRCCPI",1,2.30254761904762,0.303277438208617,6.07212009070301e-05,-0.30321671700771,-0.999799783322935,0.0983960453514739
2007,2,2007.375,1,2.31034,11,"PRCCPI",3,2.40369047619048,0.253626261337869,0.00871431140498871,-0.24491194993288,-0.965641131328353,0.0624982851473923
2007,3,2007.625,1,2.31034,21,"PRCCPI",5,2.3025641025641,0.25047419460881,6.04645809335933e-05,-0.250413730027876,-0.999758599559415,0.0884049638395792
2007,4,2007.875,1,2.31034,31,"PRCCPI",7,2.30440476190476,0.257040121882086,3.5227051247167e-05,-0.257004894830839,-0.999862951157239,0.08740589569161
2008,1,2007.125,1,1.99951,41,"PRCCPI",2,2.25309210526316,0.338493728358726,0.0643038841096955,-0.27418984424903,-0.810029318943398,0.0987008007271468
2008,2,2007.375,1,1.99951,51,"PRCCPI",4,2.3015625,0.30141943359375,0.0912357127562504,-0.2101837208375,-0.69731310397452,0.06601177734375
2008,3,2007.625,1,1.99951,61,"PRCCPI",6,2.2175,0.289889262820513,0.0475196401,-0.242369622720513,-0.836076577526012,0.0512826923076923
2008,4,2007.875,1,1.99951,71,"PRCCPI",8,2.26410714285714,0.374071821853741,0.0700116480081632,-0.304060173845578,-0.81283902203268,0.112791911139456
2008,1,2008.125,1,1.99951,81,"PRCCPI",9,2.23845833333333,0.424106373263889,0.0570963060027779,-0.367010067261111,-0.865372676285505,0.13055003546627
2008,2,2008.375,1,1.99951,91,"PRCCPI",11,2.519785,0.438272937319422,0.270686075625,-0.167586861694422,-0.382380127596793,0.22318737465
2008,3,2008.625,1,1.99951,101,"PRCCPI",13,2.4476737804878,0.362971787314106,0.200850774141122,-0.162121013172984,-0.44664907532521,0.157971390913147
2008,4,2008.875,1,1.99951,111,"PRCCPI",15,2.43330813953488,0.279434463189562,0.188180825863927,-0.0912536373256352,-0.326565436074114,0.124945918131422
2009,1,2008.125,1,1.75022,121,"PRCCPI",10,2.20336184210526,0.573316658543975,0.205337529066551,-0.367979129477424,-0.641842730354221,0.236765081241344
2009,2,2008.375,1,1.75022,131,"PRCCPI",12,2.39004871794872,0.398750748912145,0.409380788311899,0.0106300393997546,0.0266583559498133,0.116487086184254
2009,3,2008.625,1,1.75022,141,"PRCCPI",14,2.37121341463415,0.3652538972117,0.385632821018976,0.0203789238072766,0.0557938572670864,0.118203254759072
2009,4,2008.875,1,1.75022,151,"PRCCPI",16,1.88063953488372,0.492482730530016,0.017009255079286,-0.47547347545073,-0.965462230399469,0.267038399134667
2009,1,2009.125,1,1.75022,161,"PRCCPI",17,0.916578947368421,0.93836987534626,0.694957404632687,-0.243412470713573,-0.2593992807194,0.56316165166205
2009,2,2009.375,1,1.75022,171,"PRCCPI",19,1.29682142857143,0.834526503826531,0.20557026457347,-0.628956239253061,-0.753668381254671,0.620473759778911
2009,3,2009.625,1,1.75022,181,"PRCCPI",21,1.47939655172414,0.448045325505351,0.0733453401360285,-0.374699985369322,-0.836299285003583,0.254218385850178
2009,4,2009.875,1,1.75022,191,"PRCCPI",23,1.543,0.414222428571429,0.0429401284,-0.371282300171429,-0.896335578572865,0.250686
2010,1,2009.125,1,0.64557,201,"PRCCPI",18,1.37097222222222,0.92852544367284,0.526208384004938,-0.402317059667902,-0.433285983070654,0.594986207561728
2010,2,2009.375,1,0.64557,211,"PRCCPI",20,1.448,0.811826487804878,0.6438939049,-0.167932582904878,-0.206857728132221,0.526376524390244
2010,3,2009.625,1,0.64557,221,"PRCCPI",22,1.62125,0.529718080357143,0.9519514624,0.422233382042857,0.797090750155596,0.263902901785714
2010,4,2009.875,1,0.64557,231,"PRCCPI",24,1.53607142857143,0.719645280612245,0.792992794287755,0.0733475136755107,0.101921760138703,0.424771173469388
2010,1,2010.125,1,0.64557,241,"PRCCPI",25,1.58211538461538,0.585292320019724,0.877117257444379,0.291824937424655,0.498596901826459,0.304559467455622
2010,2,2010.375,1,0.64557,251,"PRCCPI",27,1.28529934210526,0.633781423552199,0.409253631150433,-0.224527792401766,-0.354266919253233,0.326132095016014
2010,3,2010.625,1,0.64557,261,"PRCCPI",29,0.975751666666667,0.435854934997222,0.109019933002778,-0.326835001994444,-0.749871059728915,0.192356376747222
2010,4,2010.875,1,0.64557,271,"PRCCPI",31,1.03556625,0.273490979360937,0.152097075014063,-0.121393904346875,-0.443868037733948,0.109472331173437
2011,1,2010.125,1,2.17432,281,"PRCCPI",26,1.78611842105263,0.756179012292244,0.15070046589723,-0.605478546395014,-0.800707949509993,0.361642663608033
2011,2,2010.375,1,2.17432,291,"PRCCPI",28,1.65427236842105,0.856310891604917,0.270449539110872,-0.585861352494045,-0.68416898376244,0.481940675091759
