"event","quarter","id","industry","time","resolution","realization","grpd_id_time_event","EV","VarPredictedAcross","VarPredicted","sqDevFromRealization","grpd_time_event","meanEV","sqDevFromMeanEV","disagreementEV","withinId","disagreementEVMinusPersoni","distanceFromResolution","dataSet","error","perc_error"
2007,1,20,2,2007.125,1,2.3,1,2.4,0.1525,0.194166666666667,0.00999999999999993,1,2.03625,0.1323140625,0.0752969594594594,1,0.0736110568576389,0.875,"PRCPCE",-0.184166666666667,-0.948497854077254
2007,1,411,2,2007.125,1,2.3,73,2,0.2625,0.304166666666667,0.0899999999999999,1,2.03625,0.00131406249999999,0.0752969594594594,2,0.0773510259934413,0.875,"PRCPCE",-0.214166666666667,-0.704109589041096
2007,1,420,2,2007.125,1,2.3,117,1.925,0.106875,0.148541666666667,0.140625,1,2.03625,0.0123765625,0.0752969594594594,3,0.077035198447145,0.875,"PRCPCE",-0.00791666666666682,-0.0532959326788229
2007,1,421,2,2007.125,1,2.3,171,2.11,0.1554,0.197066666666667,0.0361,1,2.03625,0.0054390625,0.0752969594594594,4,0.0772332597897376,0.875,"PRCPCE",-0.160966666666667,-0.816813261163735
2007,1,424,1,2007.125,1,2.3,347,1.735,0.356025,0.397691666666667,0.319225,1,2.03625,0.0907515625,0.0752969594594594,5,0.0747976405767747,0.875,"PRCPCE",-0.0784666666666668,-0.197305282568154
2007,1,431,1,2007.125,1,2.3,507,2.125,0.171875,0.213541666666667,0.0306249999999999,1,2.03625,0.00787656250000002,0.0752969594594594,6,0.0771636706693672,0.875,"PRCPCE",-0.182916666666667,-0.856585365853659
2007,1,446,2,2007.125,1,2.3,632,1.75,0.15,0.191666666666667,0.3025,1,2.03625,0.0819390624999999,0.0752969594594594,7,0.0750492320119599,0.875,"PRCPCE",0.110833333333333,0.578260869565216
2007,1,448,2,2007.125,1,2.3,712,2.325,0.331875,0.373541666666667,0.000624999999999996,1,2.03625,0.0833765624999999,0.0752969594594594,8,0.0750081922743055,0.875,"PRCPCE",-0.372916666666667,-0.998326826547685
2007,1,456,1,2007.125,1,2.3,718,1.85,0.09,0.131666666666667,0.2025,1,2.03625,0.0346890624999999,0.0752969594594594,9,0.0763981903452932,0.875,"PRCPCE",0.0708333333333331,0.537974683544302
2007,1,463,2,2007.125,1,2.3,750,2,0.1825,0.224166666666667,0.0899999999999996,1,2.03625,0.00131406249999996,0.0752969594594594,10,0.0773510259934413,0.875,"PRCPCE",-0.134166666666667,-0.598513011152418
2007,1,483,3,2007.125,1,2.3,906,1.72,0.91785,0.959516666666667,0.3364,1,2.03625,0.1000140625,0.0752969594594594,11,0.0745332019193673,0.875,"PRCPCE",-0.623116666666667,-0.649406819405604
2007,1,484,2,2007.125,1,2.3,953,2.385,0.244275,0.285941666666667,0.00722499999999999,1,2.03625,0.1216265625,0.0752969594594594,12,0.0739161783854167,0.875,"PRCPCE",-0.278716666666667,-0.974732608632297
2007,1,504,1,2007.125,1,2.3,1082,1.7,0.1225,0.164166666666667,0.36,1,2.03625,0.1130640625,0.0752969594594594,13,0.0741606324749228,0.875,"PRCPCE",0.195833333333333,1.19289340101523
2007,1,507,3,2007.125,1,2.3,1248,2.175,0.056875,0.0985416666666667,0.015625,1,2.03625,0.0192515625,0.0752969594594594,14,0.0768389214409722,0.875,"PRCPCE",-0.0829166666666667,-0.841437632135307
2007,1,508,2,2007.125,1,2.3,1314,1.985,0.122275,0.163941666666667,0.0992249999999997,1,2.03625,0.00262656249999996,0.0752969594594594,15,0.0773135549286265,0.875,"PRCPCE",-0.064716666666667,-0.394754231688102
2007,1,510,2,2007.125,1,2.3,1360,2,0.0625,0.104166666666667,0.0899999999999999,1,2.03625,0.00131406249999999,0.0752969594594594,16,0.0773510259934413,0.875,"PRCPCE",-0.0141666666666668,-0.136000000000001
2007,1,512,2,2007.125,1,2.3,1471,2.3,0.1225,0.164166666666667,0,1,2.03625,0.0695640625,0.0752969594594594,17,0.0754025306230709,0.875,"PRCPCE",-0.164166666666667,-1
2007,1,516,1,2007.125,1,2.3,1535,1.29875,0.3266859375,0.368352604166667,1.0025015625,1,2.03625,0.54390625,0.0752969594594594,18,0.0618603539737654,0.875,"PRCPCE",0.634148958333333,1.72158130867022
2007,1,518,2,2007.125,1,2.3,1543,2.25,0.25,0.291666666666667,0.00249999999999994,1,2.03625,0.0456890625000002,0.0752969594594594,19,0.0760841471354166,0.875,"PRCPCE",-0.289166666666667,-0.991428571428572
2007,1,519,1,2007.125,1,2.3,1651,1.75,0.525,0.566666666666667,0.3025,1,2.03625,0.0819390624999999,0.0752969594594594,20,0.0750492320119599,0.875,"PRCPCE",-0.264166666666667,-0.466176470588236
2007,1,520,2,2007.125,1,2.3,1665,1.75,0.1,0.141666666666667,0.3025,1,2.03625,0.0819390624999999,0.0752969594594594,21,0.0750492320119599,0.875,"PRCPCE",0.160833333333333,1.13529411764706
2007,1,521,1,2007.125,1,2.3,1668,2,0.2625,0.304166666666667,0.0899999999999999,1,2.03625,0.00131406249999999,0.0752969594594594,22,0.0773510259934413,0.875,"PRCPCE",-0.214166666666667,-0.704109589041096
2007,1,524,2,2007.125,1,2.3,1700,2.225,0.311875,0.353541666666667,0.00562499999999996,1,2.03625,0.0356265625000001,0.0752969594594594,23,0.0763714252989969,0.875,"PRCPCE",-0.347916666666667,-0.98408956982911
2007,1,526,2,2007.125,1,2.3,1776,2.325,0.031875,0.0735416666666667,0.000624999999999996,1,2.03625,0.0833765624999999,0.0752969594594594,24,0.0750081922743055,0.875,"PRCPCE",-0.0729166666666667,-0.991501416430595
2007,1,528,1,2007.125,1,2.3,1857,2,0.0625,0.104166666666667,0.0899999999999999,1,2.03625,0.00131406249999999,0.0752969594594594,25,0.0773510259934413,0.875,"PRCPCE",-0.0141666666666668,-0.136000000000001
2007,1,532,2,2007.125,1,2.3,1933,2.1,0.1025,0.144166666666667,0.0399999999999999,1,2.03625,0.00406406250000003,0.0752969594594594,26,0.0772725151909722,0.875,"PRCPCE",-0.104166666666667,-0.722543352601157
2007,1,533,1,2007.125,1,2.3,1996,1.55,0.185,0.226666666666667,0.5625,1,2.03625,0.2364390625,0.0752969594594594,27,0.0706383523823302,0.875,"PRCPCE",0.335833333333333,1.48161764705882
2007,1,535,1,2007.125,1,2.3,2018,2.4,0.1025,0.144166666666667,0.01,1,2.03625,0.1323140625,0.0752969594594594,28,0.0736110568576389,0.875,"PRCPCE",-0.134166666666667,-0.930635838150289
2007,1,536,2,2007.125,1,2.3,2124,1.775,0.111875,0.153541666666667,0.275625,1,2.03625,0.0682515624999999,0.0752969594594594,29,0.0754400016878858,0.875,"PRCPCE",0.122083333333333,0.795115332428763
2007,1,539,1,2007.125,1,2.3,2132,2.5825,0.31756875,0.359235416666667,0.0798062500000001,1,2.03625,0.2983890625,0.0752969594594594,30,0.068869718123071,0.875,"PRCPCE",-0.279429166666667,-0.777844148161895
2007,1,541,1,2007.125,1,2.3,2177,2.025,0.136875,0.178541666666667,0.075625,1,2.03625,0.0001265625,0.0752969594594594,31,0.0773849283854166,0.875,"PRCPCE",-0.102916666666667,-0.576429404900817
2007,1,542,1,2007.125,1,2.3,2193,2.525,0.161875,0.203541666666667,0.050625,1,2.03625,0.2388765625,0.0752969594594594,32,0.0705687632619598,0.875,"PRCPCE",-0.152916666666667,-0.751279426816786
2007,1,544,1,2007.125,1,2.3,2277,2,0.1125,0.154166666666667,0.0899999999999999,1,2.03625,0.00131406249999999,0.0752969594594594,33,0.0773510259934413,0.875,"PRCPCE",-0.0641666666666668,-0.416216216216217
2007,1,546,1,2007.125,1,2.3,2293,2.225,0.790625,0.832291666666667,0.00562499999999996,1,2.03625,0.0356265625000001,0.0752969594594594,34,0.0763714252989969,0.875,"PRCPCE",-0.826666666666667,-0.993241551939925
2007,1,548,2,2007.125,1,2.3,2405,1.95,0.135,0.176666666666667,0.1225,1,2.03625,0.00743906249999995,0.0752969594594594,35,0.0771761610243055,0.875,"PRCPCE",-0.0541666666666669,-0.306603773584907
2007,1,549,1,2007.125,1,2.3,2498,2,0.0625,0.104166666666667,0.0899999999999999,1,2.03625,0.00131406249999999,0.0752969594594594,36,0.0773510259934413,0.875,"PRCPCE",-0.0141666666666668,-0.136000000000001
2007,1,552,1,2007.125,1,2.3,2622,2.125,0.121875,0.163541666666667,0.0306249999999999,1,2.03625,0.00787656250000002,0.0752969594594594,37,0.0771636706693672,0.875,"PRCPCE",-0.132916666666667,-0.812738853503185
