"grpd_time_event","mean_sqDevFromRealization","mean_VarPredicted","mean_error","mean_disagreementEV","mean_time","event","meanEV","mean_disagreementEVMinusPersoni","mean_realization","dataSet"
1,0.098456766552381,0.24654805952381,-0.148091292971429,0.0983960453514739,2007.125,2007,2.30254761904762,0.0983375111186652,2.31034,"PRCCPI"
2,0.163004684836842,0.281459594298246,-0.118454909461403,0.0987008007271468,2007.125,2008,2.25309210526316,0.0986287037215024,1.99951,"PRCCPI"
3,0.0712125965523809,0.232794642857143,-0.161582046304762,0.0624982851473923,2007.375,2007,2.40369047619048,0.0624611059176794,2.31034,"PRCCPI"
4,0.1572474901,0.277074322916667,-0.119826832816667,0.06601177734375,2007.375,2008,2.3015625,0.0659683770956607,1.99951,"PRCCPI"
5,0.0884654284205128,0.203735897435897,-0.115270469015385,0.0884049638395792,2007.625,2007,2.3025641025641,0.0883437415654521,2.31034,"PRCCPI"
6,0.0988023324076924,0.280273237179487,-0.181470904771795,0.0512826923076923,2007.625,2008,2.2175,0.0512471779778394,1.99951,"PRCCPI"
7,0.0874411227428571,0.211300892857143,-0.123859770114286,0.08740589569161,2007.875,2007,2.30440476190476,0.0873538993229654,2.31034,"PRCCPI"
8,0.182803559147619,0.302946577380952,-0.120143018233333,0.112791911139456,2007.875,2008,2.26410714285714,0.112724813036458,1.99951,"PRCCPI"
9,0.187646341469048,0.335223004464286,-0.147576662995238,0.13055003546627,2008.125,2008,2.23845833333333,0.130472373339282,1.99951,"PRCCPI"
10,0.442102610307895,0.378218243969298,0.0638843663385964,0.236765081241344,2008.125,2009,2.20336184210526,0.236592133775134,1.75022,"PRCCPI"
11,0.493873450275,0.256747896635135,0.237125553639865,0.22318737465,2008.375,2008,2.519785,0.22304063738856,1.99951,"PRCCPI"
12,0.525867874496154,0.323914820116662,0.201953054379492,0.116487086184254,2008.375,2009,2.39004871794872,0.116406416456979,1.75022,"PRCCPI"
13,0.358822165054268,0.246622786748984,0.112199378305285,0.157971390913147,2008.625,2008,2.4476737804878,0.157872658793826,1.99951,"PRCCPI"
