"grpd_time_event","avg_sqDevFromRealization","avg_VarPredicted","avg_error","avg_disagreementEV","time","event","avgEV","avg_disagreementEVMinusPersoni","avg_realization","dataSet"
1,0.144861021959459,0.253003279842342,-0.108142257882883,0.0752969594594594,2007.125,2007,2.03625,0.0752388599537037,2.3,"PRCPCE"
2,0.468092803030303,0.290429924242424,0.177662878787879,0.0793594467401285,2007.125,2008,2.02348484848485,0.0792819472804214,1.4,"PRCPCE"
3,0.0901284375,0.243800729166667,-0.153672291666667,0.0752444375,2007.375,2007,2.178,0.0751949671268902,2.3,"PRCPCE"
4,0.620188621794872,0.302769711538462,0.31741891025641,0.0589379273504273,2007.375,2008,2.14916666666667,0.058897111611265,1.4,"PRCPCE"
5,0.119138571428571,0.212131666666667,-0.0929930952380953,0.0645162040816327,2007.625,2007,2.06628571428571,0.0644603942165101,2.3,"PRCPCE"
6,0.5324125,0.282843452380952,0.249569047619048,0.0543390306122449,2007.625,2008,2.09142857142857,0.0542920245304004,1.4,"PRCPCE"
7,0.167833653846154,0.210849038461538,-0.0430153846153847,0.0849191896778436,2007.875,2007,2.01205128205128,0.0848603813747425,2.3,"PRCPCE"
8,0.575040224358974,0.282857211538462,0.292183012820513,0.117596104536489,2007.875,2008,2.07634615384615,0.117514666790965,1.4,"PRCPCE"
9,0.634509375,0.336167160087719,0.298342214912281,0.122060617209141,2008.125,2008,2.1158552631579,0.121971456787513,1.4,"PRCPCE"
10,0.697244107142857,0.359490416666667,0.33775369047619,0.181822673469388,2008.125,2009,2.11792857142857,0.181665387419674,1.4,"PRCPCE"
11,0.895882778868243,0.25226594044695,0.643616838421293,0.1152830684916,2008.375,2008,2.28351554054054,0.115194115506652,1.4,"PRCPCE"
12,0.874037235964286,0.316223162460515,0.557814073503771,0.14312460307449,2008.375,2009,2.25493428571429,0.143000792864218,1.4,"PRCPCE"
13,0.750262391891892,0.246618277416667,0.503644114475225,0.060195411614317,2008.625,2008,2.2307027027027,0.0601489645374541,1.4,"PRCPCE"
14,0.692903172297297,0.306134778153153,0.386768394144144,0.117396407505478,2008.625,2009,2.15862162162162,0.117305823857712,1.4,"PRCPCE"
15,0.84415659375,0.185124466322917,0.659032127427084,0.050334211088989,2008.875,2008,2.29096710526316,0.0502974439515974,1.4,"PRCPCE"
16,0.419392516447369,0.284540597587719,0.134851918859649,0.190883357860111,2008.875,2009,1.87802631578947,0.190743925166276,1.4,"PRCPCE"
17,0.459253308823529,0.35455306372549,0.104700245098039,0.330920782871972,2009.125,2009,1.04176470588235,0.330616907038297,1.4,"PRCPCE"
18,0.51258125,0.378960416666667,0.133620833333333,0.450960488754325,2009.125,2010,1.34823529411765,0.450546383622319,1.1,"PRCPCE"
19,0.258135711148649,0.274915752815315,-0.0167800416666667,0.254806888970051,2009.375,2009,1.34230405405405,0.254610278716216,1.4,"PRCPCE"
20,0.473838596283784,0.343866246058559,0.129972350225225,0.367672702885318,2009.375,2010,1.42583108108108,0.367389004812104,1.1,"PRCPCE"
21,0.149590277777778,0.22356712962963,-0.0739768518518518,0.147464043209876,2009.625,2009,1.44611111111111,0.147245901134122,1.4,"PRCPCE"
22,0.595091435185185,0.305292824074074,0.289798611111111,0.439285802469136,2009.625,2010,1.49472222222222,0.438635971400394,1.1,"PRCPCE"
23,0.2424396484375,0.219441861979167,0.0229977864583333,0.242157513427734,2009.875,2009,1.383203125,0.241905528502211,1.4,"PRCPCE"
24,0.4337220703125,0.376471940104167,0.0572501302083332,0.295837493896484,2009.875,2010,1.471328125,0.295529650510536,1.1,"PRCPCE"
25,0.280445955882353,0.331878799019608,-0.0514328431372549,0.188939705882353,2010.125,2010,1.4025,0.188766207529844,1.1,"PRCPCE"
26,0.3691265625,0.363727604166667,0.00539895833333333,0.340701113406795,2010.125,2011,1.63140151515152,0.340368397475734,1.8,"PRCPCE"
