"grpd_time_event","mean_sqDevFromRealization","mean_VarPredicted","mean_error","mean_disagreementEV","mean_time","event","meanEV","mean_disagreementEVMinusPersoni","mean_realization","dataSet"
1,11.2653120588235,1.89731294803922,9.36799911078432,1.55842200692041,1968.875,1968,6.28441176470588,1.55820114212352,9.4,"PRGDP"
2,3.8083656779661,1.67977274011299,2.12859293785311,1.27514274633726,1969.125,1969,6.50838983050847,1.27476369082408,8.1,"PRGDP"
3,1.91212245762712,1.3422582019774,0.569864255649717,0.743341582878484,1969.375,1969,7.01889830508475,0.743120613323525,8.1,"PRGDP"
4,10.3566969339623,1.82118500786164,8.53551192610063,4.12955335751158,1969.625,1969,5.60457547169811,4.12917879484876,8.1,"PRGDP"
5,8.17211388888889,1.18059852314815,6.99151536574074,0.999636385459534,1969.875,1969,5.42185185185185,0.999280516329787,8.1,"PRGDP"
6,0.896908333333334,1.29252149122807,-0.395613157894737,0.77727730070791,1970.125,1970,5.15412280701754,0.777029444425796,5.5,"PRGDP"
7,1.47822806122449,1.08331955782313,0.39490850340136,1.26952825905872,1970.375,1970,5.04316326530612,1.26897724852962,5.5,"PRGDP"
8,0.290911574074074,0.782005092592593,-0.491093518518519,0.188215063443073,1970.625,1970,5.17953703703704,0.188148059148504,5.5,"PRGDP"
9,4.54864209401709,2.0636815,2.48496059401709,4.25883931623931,1970.875,1970,6.03833333333333,4.25852281510107,5.5,"PRGDP"
10,2.89564764150943,1.00855667767296,1.88709096383648,0.803258098967604,1971.125,1971,7.15349056603774,0.802961036061181,8.6,"PRGDP"
11,2.75821954545454,0.830564556060606,1.92765498939394,0.812194545454547,1971.375,1971,7.205,0.811916015089164,8.6,"PRGDP"
12,3.05755955882353,0.939391421568627,2.1181681372549,1.34723410467128,1971.625,1971,7.29220588235294,1.34693398569051,8.6,"PRGDP"
13,1.88886348684211,1.16697962609649,0.721883860745614,1.86494035231995,1971.875,1971,8.44532894736842,1.86460880736842,8.6,"PRGDP"
14,2.42654798387097,1.01009538575269,1.41645259811828,0.891546884755462,1972.125,1972,8.56104838709677,0.891307286022661,9.8,"PRGDP"
15,1.93438678571429,0.936753497619048,0.997633288095239,1.20665592346939,1972.375,1972,8.94692857142857,1.20640247757074,9.8,"PRGDP"
16,1.4517803030303,1.12318518560606,0.328595117424243,0.914224724517906,1972.625,1972,9.06681818181818,0.914008339967725,9.8,"PRGDP"
17,1.51769262295082,1.01937659562842,0.498316027322406,1.08165972856759,1972.875,1972,9.13967213114754,1.08135926753188,9.8,"PRGDP"
18,2.50866844262295,0.882735915300546,1.6259325273224,1.26507784197796,1973.375,1973,10.5848360655738,1.2647264314663,11.7,"PRGDP"
19,3.26101777777778,0.753916722222222,2.50710105555555,2.20149066666667,1973.625,1973,10.6706666666667,2.20035353305785,11.7,"PRGDP"
20,30.1814953703704,1.83491744907407,28.3465779212963,4.01827037037037,1973.875,1973,6.585,4.01683987184051,11.7,"PRGDP"
21,0.564090306122449,0.606124256802721,-0.042033950680272,0.45766788837984,1974.875,1974,8.17377551020408,0.457469247803288,8.5,"PRGDP"
22,4.27759268292683,1.56054552845528,2.71704715447155,1.27709274241523,1975.125,1975,7.06780487804878,1.27629455945122,8.8,"PRGDP"
23,14.942625,1.07373456111111,13.8688904388889,0.944218469135802,1975.375,1975,5.05855555555556,0.943730752984389,8.8,"PRGDP"
24,14.7567975,0.736202839583333,14.0205946604167,1.2566844375,1975.625,1975,5.12575,1.25585821499014,8.8,"PRGDP"
