"event","quarter","time","resolution","realization","grpd_event_time_bin","dataSet","grpd_time_event","EV","VarPredictedAgg","sqDevFromRealizationAgg","errorAgg","perc_errorAgg","avg_disagreementEV"
1968,4,1968.875,1,4.3,1,"PRPGDP",1,3.65505952380952,2.1286648774093,0.415948217828799,-1.7127166595805,-0.804596664208116,1.16951577026644
1969,1,1969.125,1,4.9,16,"PRPGDP",2,3.60075,1.19614110416667,1.6880505625,0.491909458333335,0.411247014770921,0.4163981875
1969,2,1969.375,1,4.9,31,"PRPGDP",3,3.995,1.27634741810345,0.819025,-0.457322418103448,-0.358305592675537,0.444174137931034
1969,3,1969.625,1,4.9,46,"PRPGDP",4,3.92627358490566,3.37130940371645,0.948143131452476,-2.42316627226397,-0.718761164309848,1.99876229307583
1969,4,1969.875,1,4.9,61,"PRPGDP",5,4.33657407407407,1.22524675834635,0.317448774005487,-0.907797984340865,-0.740910333495654,0.35295539266118
1970,1,1970.125,1,5.3,76,"PRPGDP",6,4.53614035087719,1.11930791012619,0.583481563558017,-0.535826346568176,-0.47871219502752,0.252640366266544
1970,2,1970.375,1,5.3,91,"PRPGDP",7,4.47520408163265,1.58759944814661,0.680288306955433,-0.907311141191172,-0.571498775872204,0.878344856309871
1970,3,1970.625,1,5.3,106,"PRPGDP",8,4.67574074074074,1.62735593278464,0.389699622770919,-1.23765631001372,-0.760532029336639,0.99918648834019
1970,4,1970.875,1,5.3,121,"PRPGDP",9,4.32042735042735,2.82715522570246,0.959562575790782,-1.86759264991168,-0.660590770868494,1.37061306523486
1971,1,1971.125,1,5.1,136,"PRPGDP",10,4.57509433962264,1.10436084015664,0.275525952296191,-0.828834887860449,-0.750510936029649,0.369780651477394
1971,2,1971.375,1,5.1,151,"PRPGDP",11,4.51254545454546,0.803181350930128,0.345102842975205,-0.458078507954923,-0.570330109662585,0.211843520661157
1971,3,1971.625,1,5.1,166,"PRPGDP",12,4.9625,0.970027987132353,0.01890625,-0.951121737132353,-0.98050958296998,0.46867536764706
1971,4,1971.875,1,5.1,181,"PRPGDP",13,3.73934210526316,1.10106378271933,1.8513899065097,0.750326123790367,0.681455639143143,0.382887725069252
1972,1,1972.125,1,4.3,196,"PRPGDP",14,3.57524193548387,1.08261521724053,0.525274252081165,-0.55734096515936,-0.514809838513045,0.454105989854319
1972,2,1972.375,1,4.3,211,"PRPGDP",15,3.93557142857143,0.865558411670554,0.132808183673469,-0.732750227997085,-0.846563580362941,0.335474673469388
1972,3,1972.625,1,4.3,226,"PRPGDP",16,3.81174242424242,1.18884383976212,0.238395460284664,-0.950448379477454,-0.799472855633953,0.426011736685032
1972,4,1972.875,1,4.3,241,"PRPGDP",17,3.70860655737705,1.42357593543072,0.349746203977425,-1.07382973145329,-0.754318547207245,0.860509943563557
1973,2,1973.375,1,5.5,256,"PRPGDP",18,4.66540983606557,2.19846978215798,0.696540741736093,-1.50192904042189,-0.683170199841282,1.70514942219834
1973,3,1973.625,1,5.5,271,"PRPGDP",19,5.23944444444444,1.34358937050754,0.0678891975308641,-1.27570017297668,-0.949471766433208,0.775803580246914
1973,4,1973.875,1,5.5,286,"PRPGDP",20,6.101,3.0915434402,0.361201000000001,-2.7303424402,-0.883164831099176,2.028626
1974,4,1974.875,1,9,301,"PRPGDP",21,10.0157291666667,1.00028693305348,1.03170574001736,0.031418806963885,0.0314097944556528,0.51839894748264
1975,1,1975.125,1,9.3,316,"PRPGDP",22,9.51658536585366,2.24655419393218,0.0469092207019617,-2.19964497323022,-0.979119479588491,0.901949315883403
1975,2,1975.375,1,9.3,331,"PRPGDP",23,8.70111111111111,1.73982306200274,0.358667901234565,-1.38115516076818,-0.793848058996473,0.883728765432098
1975,3,1975.625,1,9.3,346,"PRPGDP",24,8.95325,1.60301978028125,0.1202355625,-1.48278421778125,-0.924994336327588,0.930618187500001
1975,4,1975.875,1,9.3,361,"PRPGDP",25,6.51869047619048,1.77268479122462,7.73568266723356,5.96299787600894,3.36382300199547,0.832519118480725
1976,1,1976.125,1,5.5,376,"PRPGDP",26,6.29212765957447,1.41765948806141,0.627466229062925,-0.790193258998487,-0.557392847614657,0.429713558171118
1976,2,1976.375,1,5.5,391,"PRPGDP",27,5.95197916666667,1.07668901123273,0.204285167100695,-0.872403844132035,-0.810265392356143,0.377514312065972
1976,3,1976.625,1,5.5,406,"PRPGDP",28,5.81557142857143,1.80709802834985,0.0995853265306121,-1.70751270181924,-0.944892128169965,1.26827681632653
1976,4,1976.875,1,5.5,421,"PRPGDP",29,5.79736111111111,1.54848175733561,0.0884236304012345,-1.46005812693437,-0.942896563048065,0.776611786265434
1977,1,1977.125,1,6.2,436,"PRPGDP",30,5.80125,1.56316206289063,0.1590015625,-1.40416050039063,-0.898282099934046,0.7339121875
1977,2,1977.375,1,6.2,451,"PRPGDP",31,6.24914634146341,1.12400061028932,0.00241536287923852,-1.12158524741008,-0.997851101808017,0.449301100535395
1977,3,1977.625,1,6.2,466,"PRPGDP",32,6.04416666666667,1.07889151408179,0.0242840277777776,-1.05460748630401,-0.977491687105867,0.449200694444444
1977,4,1977.875,1,6.2,481,"PRPGDP",33,6.157375,1.046170609375,0.00181689062500001,-1.04435371875,-0.998263294142735,0.302418734375
1978,1,1978.125,1,7,496,"PRPGDP",34,6.36519230769231,0.921544452676946,0.402980806213018,-0.518563646463928,-0.562711483919826,0.337370155325444
1978,2,1978.375,1,7,511,"PRPGDP",35,6.66757575757576,1.07446779970504,0.110505876951331,-0.963961922753708,-0.897152918885362,0.483859274563821
1978,3,1978.625,1,7,526,"PRPGDP",36,7.6212962962963,0.640781340814408,0.386009087791496,-0.254772253022912,-0.39759624195534,0.185865912208505
1978,4,1978.875,1,7,541,"PRPGDP",37,7.78625,1.96176654073661,0.6181890625,-1.34357747823661,-0.684881432289144,1.12662611607143
1979,1,1979.125,1,8.3,556,"PRPGDP",38,8.37045454545455,2.79121161720511,0.00496384297520659,-2.7862477742299,-0.99822161711258,1.73256267217631
1979,2,1979.375,1,8.3,571,"PRPGDP",39,8.4003125,2.48117654299927,0.0100625976562499,-2.47111394534302,-0.995944424960553,0.994379589843749
1979,3,1979.625,1,8.3,586,"PRPGDP",40,9.03222222222222,1.9498400829904,0.53614938271605,-1.41369070027435,-0.725029048590601,1.02482700617284
1979,4,1979.875,1,8.3,601,"PRPGDP",41,8.745,1.45843468548387,0.198025,-1.26040968548387,-0.864220865033595,0.574598387096774
